Absorbance,Wavenumber
7.791007e+002,-6.047928e-003
7.795828e+002,-6.122880e-003
7.800649e+002,-6.171261e-003
7.805470e+002,-6.196382e-003
7.810292e+002,-6.206344e-003
7.815112e+002,-6.210786e-003
7.819934e+002,-6.216633e-003
7.824755e+002,-6.228326e-003
7.829576e+002,-6.247400e-003
7.834397e+002,-6.274018e-003
7.839219e+002,-6.307166e-003
7.844039e+002,-6.343543e-003
7.848861e+002,-6.377567e-003
7.853682e+002,-6.401761e-003
7.858503e+002,-6.408584e-003
7.863324e+002,-6.394153e-003
7.868146e+002,-6.360752e-003
7.872966e+002,-6.317387e-003
7.877788e+002,-6.276859e-003
7.882609e+002,-6.253279e-003
7.887430e+002,-6.254553e-003
7.892251e+002,-6.281399e-003
7.897073e+002,-6.326726e-003
7.901893e+002,-6.379069e-003
7.906715e+002,-6.426051e-003
7.911536e+002,-6.458795e-003
7.916357e+002,-6.473551e-003
7.921178e+002,-6.470221e-003
7.926000e+002,-6.451352e-003
7.930820e+002,-6.419815e-003
7.935642e+002,-6.378873e-003
7.940463e+002,-6.333094e-003
7.945284e+002,-6.288845e-003
7.950105e+002,-6.255239e-003
7.954927e+002,-6.240999e-003
7.959747e+002,-6.252103e-003
7.964569e+002,-6.288910e-003
